,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
280,1892,BRO,LAD,3,,,,Brooklyn Grooms,Eastern Park,96,96
281,1892,BSN,ATL,1,,,,Boston Beaneaters,South End Grounds II,109,107
282,1892,CHN,CHC,7,,,,Chicago Colts,South Side Park I,94,94
283,1892,CIN,CIN,5,,,,Cincinnati Reds,League Park I in Cincinnati,99,99
284,1892,CL4,CLV,2,,,,Cleveland Spiders,League Park I,104,103
285,1892,LS3,LOU,9,,,,Louisville Colonels,Eclipse Park I,91,93
286,1892,NY1,SFG,8,,,,New York Giants,Polo Grounds III,99,98
287,1892,PHI,PHI,4,,,,Philadelphia Phillies,Philadelphia Baseball Grounds,100,99
288,1892,PIT,PIT,6,,,,Pittsburgh Pirates,Exposition Park,100,100
289,1892,SLN,STL,11,,,,St. Louis Browns,Sportsman's Park I,105,104
290,1892,WAS,WAS,10,,,,Washington Senators,Boundary Field,97,99
291,1893,BLN,BLO,8,,,,Baltimore Orioles,Union Park,102,102
292,1893,BRO,LAD,7,,,,Brooklyn Grooms,Eastern Park,95,95
293,1893,BSN,ATL,1,,,,Boston Beaneaters,South End Grounds II,108,106
294,1893,CHN,CHC,9,,,,Chicago Colts,South Side Park I,103,104
295,1893,CIN,CIN,6,,,,Cincinnati Reds,League Park I in Cincinnati,102,103
296,1893,CL4,CLV,3,,,,Cleveland Spiders,League Park I,106,105
297,1893,LS3,LOU,11,,,,Louisville Colonels,Eclipse Park II,92,94
298,1893,NY1,SFG,5,,,,New York Giants,Polo Grounds III,101,100
299,1893,PHI,PHI,4,,,,Philadelphia Phillies,Philadelphia Baseball Grounds,102,101
300,1893,PIT,PIT,2,,,,Pittsburgh Pirates,Exposition Park,98,98
301,1893,SLN,STL,10,,,,St. Louis Browns,Robison Field,100,101
302,1893,WAS,WAS,12,,,,Washington Senators,Boundary Field,97,99
303,1894,BLN,BLO,1,,,,Baltimore Orioles,Union Park,104,103
304,1894,BRO,LAD,5,,,,Brooklyn Grooms,Eastern Park,93,93
305,1894,BSN,ATL,3,,,,Boston Beaneaters,South End Grounds II / Congress Street Grounds / South End Grounds III,113,111
306,1894,CHN,CHC,8,,,,Chicago Colts,West Side Park II,106,106
307,1894,CIN,CIN,10,,,,Cincinnati Reds,League Park II in Cincinnati,103,104
308,1894,CL4,CLV,6,,,,Cleveland Spiders,League Park I,104,103
309,1894,LS3,LOU,12,,,,Louisville Colonels,Eclipse Park II,93,96
310,1894,NY1,SFG,2,,,,New York Giants,Polo Grounds III,99,99
311,1894,PHI,PHI,4,,,,Philadelphia Phillies,Philadelphia Baseball Grounds,96,94
312,1894,PIT,PIT,7,,,,Pittsburgh Pirates,Exposition Park,99,98
313,1894,SLN,STL,9,,,,St. Louis Browns,Robison Field,100,102
314,1894,WAS,WAS,11,,,,Washington Senators,Boundary Field,97,99
315,1895,BLN,BLO,1,,,,Baltimore Orioles,Union Park,103,100
316,1895,BRO,LAD,5,,,,Brooklyn Grooms,Eastern Park,92,92
317,1895,BSN,ATL,6,,,,Boston Beaneaters,South End Grounds III,105,104
318,1895,CHN,CHC,4,,,,Chicago Colts,West Side Park II,107,107
319,1895,CIN,CIN,8,,,,Cincinnati Reds,League Park II in Cincinnati,104,104
